#Table1
u,g,r,i,z,class,redshift,plate,mjd,fiberid
18.86265,17.23543,16.49867,16.10479,15.92812,GALAXY,0.07967084,364,52000,398
19.0952,17.90943,17.49158,17.33092,17.29165,STAR,-0.0002027405,2204,53877,156
19.15034,17.32987,16.53035,16.11392,15.82345,GALAXY,0.05911322,364,52000,327
16.84338,15.71396,15.59125,15.58995,15.63916,STAR,-0.0001144421,2204,53877,206
19.46403,18.14614,17.37638,16.94839,16.72287,GALAXY,0.1134742,2533,54585,533
18.31292,17.30492,16.9504,16.81191,16.71874,STAR,0.0001161189,2204,53877,161
19.57687,18.41184,17.71061,17.32117,17.09385,GALAXY,0.127475,1425,52913,584
19.31854,17.74153,17.12132,16.8985,16.79049,STAR,-7.259507E-05,2184,53534,612
17.62976,16.59746,16.24165,16.09722,16.05405,STAR,-0.0004065307,1425,52913,285
18.5456,17.09529,16.46874,16.11956,15.89484,GALAXY,0.03449361,1567,53172,354
19.54584,18.00677,17.31647,16.92323,16.67395,GALAXY,0.05829163,1732,53501,635
18.40538,17.47268,16.80474,16.36704,16.12223,GALAXY,0.1204505,2533,54585,523
19.27482,19.0765,19.09632,19.05885,19.09712,STAR,-0.0002903027,2532,54589,451
16.95629,15.60206,15.00393,14.74243,14.60121,STAR,-0.001168638,2183,53536,15
17.94532,16.55644,15.90312,15.61816,15.45916,STAR,-0.0006896393,2184,53534,605
18.45198,17.12134,16.48526,16.06147,15.81343,GALAXY,0.07542698,1425,52913,236
18.93032,17.74041,17.79764,17.91008,18.02546,STAR,-0.0002691925,2204,53877,505
19.57631,18.34004,17.63517,17.2234,17.01786,GALAXY,0.1208858,1689,53177,589
19.44409,18.10251,17.53473,17.31946,17.22861,STAR,4.409877E-05,2184,53534,443
18.29955,16.66687,15.75831,15.29836,14.96427,GALAXY,0.0861843,346,51693,543
19.34745,17.49424,16.50293,16.05139,15.73611,GALAXY,0.1070973,2203,53915,77
19.20787,18.23195,17.91893,17.68966,17.55822,GALAXY,0.04758136,2531,54572,67
18.80159,16.97304,16.32971,15.97348,15.65455,GALAXY,0.03369463,2532,54589,170
16.77167,15.43673,15.27366,15.26582,15.31559,STAR,0.000248768,1732,53501,106
19.29429,17.59026,16.76946,16.30218,15.99148,GALAXY,0.05924427,1568,53169,219
19.3389,17.92787,17.28883,16.86852,16.59619,GALAXY,0.06633899,1568,53169,129
19.17951,16.62063,15.60455,15.14862,15.03697,GALAXY,0.08635219,4066,55444,858
19.22109,17.67132,16.87547,16.45681,16.11537,GALAXY,0.04755587,2531,54572,10
19.59913,18.19207,17.64079,17.38313,17.25286,STAR,-0.0002858754,2183,53536,290
16.55714,15.26969,15.41288,15.53803,15.60207,STAR,-0.0006177975,2183,53536,189
19.08604,17.34755,16.35862,15.84222,15.47503,GALAXY,0.08456031,346,51693,573
19.25012,19.14655,19.03382,18.75159,18.55881,QSO,1.679997,2209,53907,109
19.12754,18.68729,18.60164,18.59716,18.71175,STAR,0.0001704994,2532,54589,510
18.54468,17.49014,17.34648,17.30063,17.31066,STAR,-0.0005310901,3290,54941,7
17.1296,16.0561,15.67534,15.52447,15.47676,STAR,-0.000378673,2183,53536,221
18.83145,17.00639,16.19716,15.79808,15.49184,GALAXY,0.06402351,1731,53884,34
19.51867,18.55099,18.20853,18.0612,18.02774,STAR,-0.0008341965,3290,54941,22
19.37545,18.08398,17.55954,17.35309,17.25459,STAR,-0.0002713684,3298,54924,626
18.70436,17.22768,16.71621,16.55323,16.45802,STAR,-0.0002343005,2183,53536,184
19.14963,18.00378,17.4657,17.1376,16.90036,GALAXY,0.04402394,346,51693,206
19.54486,17.89256,17.26319,17.25875,16.96703,STAR,-4.116825E-05,2204,53877,444
19.55645,18.13828,17.37432,16.92766,16.58615,GALAXY,0.08567441,346,51693,484
19.52921,18.36285,17.85088,17.52905,17.35709,GALAXY,0.02771324,346,51693,485
19.57092,17.64816,16.61521,16.17703,15.75704,GALAXY,0.09871359,2531,54572,152
18.60087,16.88747,16.24277,16.02549,15.90692,STAR,-2.482507E-05,2183,53536,517
19.06592,17.6012,16.74044,16.27001,15.92932,GALAXY,0.1161577,1568,53169,510
18.76626,17.47872,17.23499,17.13619,17.078,STAR,-0.0004779466,2209,53907,575
17.58922,15.91608,15.05316,14.59154,14.22354,GALAXY,0.03371061,2533,54585,333
19.35365,18.11111,17.6114,17.20584,17.09521,GALAXY,0.07464347,1732,53501,167
19.58611,19.58863,19.44616,19.04857,18.94112,QSO,1.856709,1688,53462,48
17.71394,16.69888,16.36158,16.22678,16.16846,STAR,-0.0007280125,2183,53536,199
